full_name|doing_business_as|license_no|license_type_name|license_status_name|addr_line_1|addr_line_4|addr_city|addr_county|addr_state|addr_zipcode|
420 HIGHWAYS, LLC|MEDICAL MARIJUANA IN COLORADO|402-00710|Center - Type 1|Denied|201 East Simpson Street Bldg B|Lafayette CO  80026|Lafayette|Boulder|CO|80026|
420 HIGHWAYS, LLC|MEDICAL MARIJUANA IN COLORADO|404-00278|Infused Product Manufacturer|Denied|2801 Colorado Blvd|Idaho Springs CO  80452|Idaho Springs|Clear Creek|CO|80452|
420 HIGHWAYS, LLC|420 HIGHWAYS, LLC|403-01072|Optional Premises|Denied|2801 Colorado Blvd|Idaho Springs CO  80452|Idaho Springs|Clear Creek|CO|80452|
420 HIGHWAYS, LLC|420 HIGHWAYS, LLC|403-01073|Optional Premises|Denied|6420 Gunpark Driver|Boulder CO  80301|Boulder|Boulder|CO|80301|
ABC THERAPY INC|ABC THERAPY INC|402-00212|Center - Type 1|Denied|1831 AUSTIN BLUFFS PARKWAY #101|COLORADO SPRINGS CO  80918|COLORADO SPRINGS||CO|80918|
ABC THERAPY INC|ABC THERAPY INC|403-00305|Optional Premises|Denied|341 COUNTRY ROAD F-45|PENROSE CO  81240|PENROSE||CO|81240|
ALL CARE WELLNESS CENTERS LLC|ALL CARE WELLNESS CENTERS LLC|402-00129|Center - Type 1|Denied|9202 W ALAMEDA|Lakewood CO  80226|Lakewood|Jefferson|CO|80226|
ALL CARE WELLNESS CENTERS LLC|ALL CARE WELLNESS CENTERS LLC|403-00181|Optional Premises|Denied|4705 Oakland Street|Denver CO  80239|Denver|Denver|CO|80239|
AMENDMENT 20 MEDS LLC|AMENDMENT 20 MEDS LLC|402-00660|Center - Type 1|Denied|10575 MELODY DRIVE SUITE 100B|Northglenn CO  80234|Northglenn|Adams|CO|80234|
AMENDMENT 20 MEDS LLC|AMENDMENT 20 MEDS LLC|403-00995|Optional Premises|Denied|114 HOMESTEAD ROAD|Evergreen CO  80439|Evergreen|Jefferson|CO|80439|
AMENDMENT 20 MEDS LLC|AMENDMENT 20 MEDS LLC|402-00661|Center - Type 1|Denied|114 HOMESTEAD ROAD|Evergreen CO  80439|Evergreen|Jefferson|CO|80439|
AMENDMENT 20 MEDS LLC|AMENDMENT 20 MEDS LLC|403-00996|Optional Premises|Denied|114 HOMESTEAD ROAD|Evergreen CO  80439|Evergreen|Jefferson|CO|80439|
AOM ENTERPRISES INC.|ALTITUDE ORGANICS MEDICINE also dba ALTITUDE ORGANIC MEDICINE CO SPGS NEVADA AVE. aka AOM COLORADO SPRINGS NEVADA AKA AOM CO SPGS|402-00397|Center - Type 1|Denied|409 S Nevada Ave|Colorado Springs CO  80903|Colorado Springs|El Paso|CO|80903|
AOM ENTERPRISES INC.|ALTITUDE ORGANICS MEDICINE also dba ALTITUDE ORGANIC MEDICINE CO SPGS NEVADA AVE. aka AOM COLORADO SPRINGS NEVADA AKA AOM CO SPGS|403-00605|Optional Premises|Denied|228 W Cimarron St, Unit A|Colorado Springs CO  80903|Colorado Springs|El Paso|CO|80903|
AUTOMATED VENDING AND GROWTH LLC|AUTOMATED VENDING AND GROWTH LLC|404-00219|Infused Product Manufacturer|Denied|1811 Mulberry St.|Fort Collins CO  80524|Fort Collins|Larimer|CO|80524|
AUTOMATED VENDING AND GROWTH LLC|AUTOMATED VENDING AND GROWTH LLC|403-00819|Optional Premises|Denied|1811 Mulberry St.|Fort Collins CO  80524|Fort Collins|Larimer|CO|80524|
BC GROUP INC|BC GROUP INC|402-00651|Center - Type 1|Denied|4206 W 38TH AVE|Denver CO  80212|Denver|Denver|CO|80212|
BC GROUP INC|BC GROUP INC|403-00982|Optional Premises|Denied|4206 W 38TH AVE|Denver CO  80216|Denver|Denver|CO|80216|
BLISS WELLNESS CENTER LLC|BLISS WELLNESS CENTER LLC|402-00264|Center - Type 1|Denied|1904 Pearl St|BOULDER CO  80302|BOULDER||CO|80302|
BLISS WELLNESS CENTER LLC|BLISS WELLNESS CENTER LLC|403-00394|Optional Premises|Denied|5680 Valmont|BOULDER CO  80301|BOULDER|Boulder|CO|80301|
BLUE MESA MEDICINAL LLC|BLUE MESA MEDICINAL LLC|402-00526|Center - Type 1|Denied|1560 North Ave|Grand Junction CO  81501|Grand Junction|Mesa|CO|81501|
BLUE MESA MEDICINAL LLC|BLUE MESA MEDICINAL LLC|403-00777|Optional Premises|Denied|1560 North Ave|Grand Junction CO  81501|Grand Junction|Mesa|CO|81501|
BOTANICA LLC|BOTANICA LLC|402-00101|Center - Type 1|Denied|2520 South Grand Ave., Ste. 104|Glenwood Springs CO  81601|Glenwood Springs|Garfield|CO|81601|
BOTANICA LLC|BOTANICA LLC|403-00146|Optional Premises|Denied|3441 South Grand Ave., Unit C|Glenwood Springs CO  81601|Glenwood Springs|Garfield|CO|81601|
BOULDER COUNTY CAREGIVERS LLC|THE RIDGE|402R-00468|Retail Marijuana Store|Denied|10185 West 49th Avenue|Wheat Ridge CO  80033|Wheat Ridge|Jefferson|CO|80033|
BOULDER MEDICINALS LLC|THE BUD|403-00854|Optional Premises|Denied|1865 SOUTH ACOMA ST|Denver CO  80204|Denver|Denver|CO|80204|
BOULDER MEDS LLC|BOULDER MEDS LLC|402-00256|Center - Type 1|Denied|1325 Broadway #216|Boulder CO  80302|Boulder|Boulder|CO|80302|
BOULDER MEDS LLC|BOULDER MEDS LLC|403-00386|Optional Premises|Denied|6390 Gunpark Dr #B|Boulder CO  80301|Boulder|Boulder|CO|80301|
BOULDER MEDS LLC|BOULDER MEDS LLC|404-00105|Infused Product Manufacturer|Denied|6390 Gunpark Dr #B|Boulder CO  80301|Boulder|Boulder|CO|80301|
BURNZWELL LLC|BURNZWELL LLC|402-00704|Center - Type 1|Denied|4751 East 46th Avenue|Denver CO  80216|Denver|Denver|CO|80216|
BURNZWELL LLC|BURNZWELL LLC|403-01062|Optional Premises|Denied|4751 E. 46th Avenue|Denver CO  80216|Denver|Denver|CO|80216|
C & C SPECIALTIES LLC|C & C SPECIALTIES LLC|402-00109|Center - Type 1|Denied|200 Front Street|Placerville CO  81430|Placerville|San Miguel|CO|81430|
C & C SPECIALTIES LLC|C & C SPECIALTIES LLC|403-00155|Optional Premises|Denied|200 Front St|Placerville CO  81430|Placerville|San Miguel|CO|81430|
CALYX INDUSTRIES LLC||402-00790|Center - Type 1|Denied|520  E Cooper St #LL3|Aspen CO  81611|Aspen|Pitkin|CO|81611|
CALYX INDUSTRIES LLC||403-01196|Optional Premises|Denied|17694 HWY 82|Carbondale CO  81623|Carbondale|Garfield|CO|81623|
CAMSTR CORP|CAMSTR|402R-00680|Retail Marijuana Store|Denied|4425 East Virginia Avenue Unit 320|Denver CO  80246|Denver|Arapahoe|CO|80246|
CANNABIS CARE WELLNESS CENTERS LLC|CANNABIS CARE WELLNESS CENTER LLC|403-00638|Optional Premises|Denied|2515 7th Ave|Garden City CO  80631|Garden City|Weld|CO|80631|
CANNABIS CARE WELLNESS CENTERS LLC|CANNABIS CARE WELLNESS CENTER LLC|402-00421|Center - Type 1|Denied|1505 N Lincoln Ave|Loveland CO  80538|Loveland|Larimer|CO|80538|
City Park Dispensary, LLC|City Park Dispensary, LLC|402-00369|Center - Type 1|Denied|3030 E Colfax Ave|Denver CO  80206|Denver|Denver|CO|80206|
City Park Dispensary, LLC|City Park Dispensary, LLC|403-00552|Optional Premises|Denied|3860 N Holly St, Unit 104|Denver CO  80216|Denver|Denver|CO|80216|
CLOVIS LLC|CONCENTRATE I|402-00807|Center - Type 1|Denied|4707 Lipan Street, Unit A|Denver CO  80211|Denver|Denver|CO|80211|
CLOVIS LLC|CANNA WORLD WELLNESS CENTER|403-01218|Optional Premises|Denied|4707 Lipan Street, Unit A|Denver CO  80211|Denver|Denver|CO|80211|
CMD CARE-HOUSE LLC|CMD CARE-HOUSE LLC|402-00172|Center - Type 1|Denied|1101 VILLAGE ROAD UL-1A|Carbondale CO  81623|Carbondale|Garfield|CO|81623|
CMD CARE-HOUSE LLC|CMD CARE-HOUSE LLC|403-00260|Optional Premises|Denied|1676 COUNTY RD 100, UNIT P-4|Carbondale CO  81623|Carbondale|Garfield|CO|81623|
CMD CARE-HOUSE LLC|CMD CARE-HOUSE LLC|404-00072|Infused Product Manufacturer|Denied|1101 VILLAGE ROAD UL-1A|Carbondale CO  81623|Carbondale|Garfield|CO|81623|
COLORADO ALTERNATIVE MEDICINE, LLC|COLORADO ALTERNATIVE MEDICINE, LLC|402-00716|Center - Type 1|Denied|4955 South Ulster Street Suite 105|Denver CO  80237|Denver|Denver|CO|80237|
COLORADO ALTERNATIVE MEDICINE, LLC|COLORADO ALTERNATIVE MEDICINE, LLC|403-01082|Optional Premises|Denied|4955 South Ulster Street Suite 105|Denver CO  80235|Denver|Jefferson|CO|80235|
COLORADO ALTERNATIVE MEDICINE, LLC|COLORADO ALTERNATIVE MEDICINE, LLC|403-01083|Optional Premises|Denied|730 S Jason Street, Unit 28|Denver CO  80223|Denver|Denver|CO|80223|
COLORADO ALTERNATIVE MEDICINE, LLC|COLORADO ALTERNATIVE MEDICINE, LLC|403-01084|Optional Premises|Denied|2922 North Prospect Street|Colorado Springs CO  80907|Colorado Springs|El Paso|CO|80907|
COLORADO LAWN CARE LLC|COLORADO LAWN CARE LLC|403-00402|Optional Premises|Denied|1425 Kalamath St|DENVER CO  80204|DENVER||CO|80204|
COLORADO LAWN CARE LLC|Kayla's Garden|402-00268|Center - Type 1|Denied|1425 Kalamath St|DENVER CO  80204|DENVER||CO|80204|
COMPASSIONATE CARE GIVERS INC|ROCKY MOUNTAIN HIGH|404R-00321|Retail Marijuana Products Mfg|Denied|6666 East Stapleton Drive S|Denver CO  80216|Denver|Denver|CO|80216|
COMPASSIONATE CARE GIVERS INC|ROCKY MOUNTAIN HIGH|404-00587|Infused Product Manufacturer|Denied|6666 East Stapleton Drive S|Denver CO  80216|Denver|Denver|CO|80216|
